,url,title,published at,description,view count,comment count,like count,category,Consultation date
50,https://www.youtube.com/watch?v=e6Do2V4O8ro,Inversión de polos,2023-09-06T20:24:02Z,,407747,269,54773,Science & Technology,2024-10-29
51,https://www.youtube.com/watch?v=1MkMCa9SWdo,El espacio exterior está frio,2023-12-17T22:45:02Z,,1102400,611,96738,Science & Technology,2024-10-29
52,https://www.youtube.com/watch?v=4v3L-tns6wo,La Sábana Santa #short,2023-07-09T20:02:18Z,La Sábana Santa #short,464026,449,38510,Science & Technology,2024-10-29
53,https://www.youtube.com/watch?v=1SLu2bPlL6E,Un invento de los más revolucionarios #shorts,2023-04-28T21:00:03Z,"Un invento de los más revolucionarios

#parati #fyp #pila
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",435292,285,51068,Science & Technology,2024-10-29
54,https://www.youtube.com/watch?v=fnE0SieHBbQ,El extraño final del monje ruso Rasputin #shorts,2023-05-27T23:00:09Z,"El extraño final del monje ruso Rasputin

#parati #fyp #rasputin 
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",1046382,298,85896,Science & Technology,2024-10-29
55,https://www.youtube.com/watch?v=wRNmb2833P0,No te engañan si dicen que el frío no existe #shorts,2023-04-17T01:05:03Z,"No te engañan si dicen que el frío no existe #shorts

#parati #fyp #frio 
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",1328032,2086,132939,Science & Technology,2024-10-29
56,https://www.youtube.com/watch?v=CajgdBBIYwc,Medusas inmortales #short,2023-06-17T17:08:10Z,,501131,547,84286,Science & Technology,2024-10-29
57,https://www.youtube.com/watch?v=-6hVdcOVKek,Hacemos un túnel en la Tierra y saltamos. ¿Qué pasa?,2024-10-16T19:30:59Z,,1705095,1159,191004,Science & Technology,2024-10-29
58,https://www.youtube.com/watch?v=PnDzK4cFiOs,Relatividad general de Einstein - ¿Qué es la gravedad?,2016-11-22T23:42:31Z,"Mi libro en Amazon
https://www.amazon.es/bos%C3%B3n-Higgs-hacer-Fuera-colecci%C3%B3n-ebook/dp/B01KZKPS1K

Suscríbete a mi canal principal, Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw/featured
Sígueme en Twitter
https://twitter.com/JaSantaolalla
Facebook
https://www.facebook.com/Javier-Santaolalla-Date-un-Voltio-343219849200135/
Instagram
@Jasantaolalla",450043,698,18208,People & Blogs,2024-10-29
59,https://www.youtube.com/watch?v=Pyw5dsI3S-M,¿Explicación científica?,2023-09-11T00:31:42Z,,10482851,5399,573729,Science & Technology,2024-10-29
60,https://www.youtube.com/watch?v=IWf2o_LR8L8,Matemáticas post mortem #shorts,2023-04-29T21:00:05Z,"Matemáticas post mortem

#parati #fyp #galois
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",1569120,631,142960,Science & Technology,2024-10-29
61,https://www.youtube.com/watch?v=RZMMdtW5KHs,La palanca que tenemos en nuestro brazo #short,2023-06-28T14:37:44Z,La palanca que tenemos en nuestro brazo,710041,424,100574,Science & Technology,2024-10-29
62,https://www.youtube.com/watch?v=WMmxuo4FEC8,¿Qué son los QUARKS?,2018-01-03T21:36:06Z,"Grupo de GoodReads:
https://www.goodreads.com/group/show/256123-date-un-voltio

Mi libro en Amazon
https://www.amazon.es/bos%C3%B3n-Higgs-hacer-Fuera-colecci%C3%B3n-ebook/dp/B01KZKPS1K

Camisetas de ciencia en www.utopiasoul.com

Suscríbete a mi canal principal, Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw/featured
Sígueme en Twitter
https://twitter.com/JaSantaolalla
Facebook
https://www.facebook.com/Javier-Santaolalla-Date-un-Voltio-343219849200135/
Instagram
@Jasantaolalla",414962,1769,24859,Science & Technology,2024-10-29
63,https://www.youtube.com/watch?v=Opc_O4NK_nk,teorema de...,2024-03-10T13:49:45Z,,527768,897,53134,Science & Technology,2024-10-29
64,https://www.youtube.com/watch?v=Lga-oupKJx4,"La ecuación más bella de la física, la ecuación de Dirac",2017-11-09T03:35:57Z,"La revista N+1:
https://www.facebook.com/nmas1org/

Grupo de GoodReads:
https://www.goodreads.com/group/show/256123-date-un-voltio

Mi libro en Amazon
https://www.amazon.es/bos%C3%B3n-Higgs-hacer-Fuera-colecci%C3%B3n-ebook/dp/B01KZKPS1K

Camisetas de ciencia en www.utopiasoul.com

Suscríbete a mi canal principal, Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw/featured
Sígueme en Twitter
https://twitter.com/JaSantaolalla
Facebook
https://www.facebook.com/Javier-Santaolalla-Date-un-Voltio-343219849200135/
Instagram
@Jasantaolalla",865568,1401,40420,Science & Technology,2024-10-29
65,https://www.youtube.com/watch?v=P5ZiunkbfHY,La fábrica de antimateria en el CERN #short,2023-07-13T00:29:51Z,La fábrica de antimateria en el CERN,764441,656,89877,Science & Technology,2024-10-29
66,https://www.youtube.com/watch?v=X2Oe-j2YgEw,¿Cómo sabemos si EXISTEN los ÁTOMOS?,2018-06-21T00:30:50Z,"Si no los podemos ver, ¿cómo sabemos que están ahí?

Grupo de GoodReads:
https://www.goodreads.com/group/show/256123-date-un-voltio

Mi libro en Amazon
https://www.amazon.es/bos%C3%B3n-Higgs-hacer-Fuera-colecci%C3%B3n-ebook/dp/B01KZKPS1K

Camisetas de ciencia en www.utopiasoul.com

Suscríbete a mi canal principal, Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw/featured
Sígueme en Twitter
https://twitter.com/JaSantaolalla
Facebook
https://www.facebook.com/Javier-Santaolalla-Date-un-Voltio-343219849200135/
Instagram
@Jasantaolalla",368459,1368,21910,Science & Technology,2024-10-29
67,https://www.youtube.com/watch?v=7-TuaLHCZfM,HOY SÍ que vas a entender la mecánica cuántica,2018-11-21T20:13:10Z,"#HoySí #6Claves #MecánicaCuántica 
La teoría de la mecánica cuántica es una teoría compleja y que se escapa a la comprensión para muchas personas. Hoy te presento 6 claves para que la entiendas de una vez por todas.

------------------
🌌 La aventura del conocimiento:
https://amautas.com/
📸 Instagram:
https://www.instagram.com/jasantaolalla
⚡ Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw
🥳 Date Un Mí:
https://www.youtube.com/channel/UCy0wRL70l-nAOvQHmO8i7ZQ
📚 Date Un Libro:
https://bit.ly/dateunlibro
🧛‍♂️ La cueva del editor:
https://linktr.ee/ikefuti",1044001,2062,47388,Science & Technology,2024-10-29
